name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
Hermès Ala Moana Center,http://en.stores.hermes.com/North-America/United-States/Honolulu/Hermes-Ala-Moana-Center,1450 Ala Moana Boulevard,Honolulu,HI,96814,United-States,1 808 947 3789,,+ 1 808 947 3688,,,,," monday to saturday:09:30am to 09:00pm, sunday:10:00am to 07:00pm",21.289453,-157.842783,,,,,
Hermès Atlanta,http://en.stores.hermes.com/North-America/United-States/Atlanta/Hermes-Atlanta,262 Buckhead Avenue,Atlanta,GA,30305,United-States,1 404 233 1011,,+ 1 404 261 0954,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",33.837882,-84.378534,,,,,
Hermès Bergen County,http://en.stores.hermes.com/North-America/United-States/Bergen/Hermes-Bergen-County,The Shops at Riverside One Riverside Square,Hackensack,NJ,7601,United-States,1 201 487 1111,,+ 1 201 487 1198,,,,," monday to saturday:10:00am to 06:00pm, thursday:10:00am to 07:00pm, sunday:closed",40.907498,-74.03296,,,,,
Hermès Chicago,http://en.stores.hermes.com/North-America/United-States/Chicago/Hermes-Chicago,25 East Oak Street,Chicago,IL,60611,United-States,1 312 787 8175,,+ 1 312 787 7351,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",41.900474,-87.627023,,,,,
Hermès Denver,http://en.stores.hermes.com/North-America/United-States/Denver/Hermes-Denver,105 Fillmore Street Suite 101,Denver,CO,80206,United-States,1 303 388 0700,,+ 1 303 388 1678,,,,," monday, sunday:closed, tuesday to saturday:10:00am to 05:30pm",39.718784,-104.953988,,,,,
Hermès Costa Mesa,http://en.stores.hermes.com/North-America/United-States/Costa-Mesa/Hermes-Costa-Mesa,South Coast Plaza 3333 Bristol Street #1424,Costa Mesa,CA,92626,United-States,1 714 437 1725,,+ 1 714 437 1750,,,,," monday to friday:10:00am to 09:00pm, saturday:10:00am to 08:00pm, sunday:11:00am to 06:30pm",33.691055,-117.887916,,,,,
Hermès Boston,http://en.stores.hermes.com/North-America/United-States/Boston/Hermes-Boston,320 Boylston Street,Boston,MA,2116,United-States,1 617 482 8707,,+ 1 617 426 4922,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",42.351111,-71.069874,,,,,
Hermès Chagrin Falls at Cuff's,http://en.stores.hermes.com/North-America/United-States/Cleveland/Hermes-Chagrin-Falls-at-Cuff-s,At Cuffs 18 East Orange Street,Chagrin Falls,OH,44022,United-States,1 440 247 2828,,+ 1 440 247 1087,,,,," monday to saturday:10:00am to 06:00pm, thursday:10:00am to 08:00pm, sunday:closed",41.432336,-81.391747,,,,,
Hermès Beverly Hills,http://en.stores.hermes.com/North-America/United-States/Beverly-Hills/Hermes-Beverly-Hills,434 North Rodeo Drive,Beverly Hills,CA,90210,United-States,1 310 278 6440,,+ 1 310 278 9174,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",34.070061,-118.403297,,,,,
Hermès Dallas,http://en.stores.hermes.com/North-America/United-States/Dallas/Hermes-Dallas,21 Highland Park Village,Dallas,TX,75205,United-States,1 214 528 0197,,+ 1 214 528 6969,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",32.835214,-96.806369,,,,,
Hermès Honolulu Daniel K.Inouye International Airport,http://en.stores.hermes.com/North-America/United-States/Honolulu/Hermes-Honolulu-Daniel-K.Inouye-International-Airport,Honolulu International Airport 300 Rogers Boulevard,Honolulu,HI,96819,United-States,1 808 837 3236,,,,,,, monday to sunday:07:00am to 10:45pm,21.333833,-157.923832,,,,,
Hermès King of Prussia,http://en.stores.hermes.com/North-America/United-States/King-of-Prussia/Hermes-King-of-Prussia,The Plaza at King of Prussia 350 Mall Blvd Suite 3007,King of Prussia,PA,19406,United-States,1 610 992 9730,,+ 1 610 992 0930,,,,," monday to saturday:10:00am to 06:00pm, sunday:11:00am to 06:00pm",40.088129,-75.388111,,,,,
Hermès Greenwich,http://en.stores.hermes.com/North-America/United-States/Greenwich/Hermes-Greenwich,289 Greenwich Avenue,Greenwich,CT,6830,United-States,1 203 622 3007,,,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",41.025606,-73.625442,,,,,
Hermès Houston,http://en.stores.hermes.com/North-America/United-States/Houston/Hermes-Houston,River Oaks District 4444 Westheimer Road Suite B100,Houston,TX,77027,United-States,1 713 623 2177,,+ 1 713 623 2044,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",29.741911,-95.453213,,,,,
Hermès Las Vegas Bellagio,http://en.stores.hermes.com/North-America/United-States/Las-Vegas/Hermes-Las-Vegas-Bellagio,3600 Las Vegas Boulevard South,Las Vegas,NV,89109,United-States,702-866-2629,,702-866-2636,,,,, monday to sunday:10:00am to 12:00am,36.114065,-115.173013,,,,,
Hermès Las Vegas City Center,http://en.stores.hermes.com/North-America/United-States/Las-Vegas/Hermes-Las-Vegas-City-Center,3720 Las Vegas Boulevard South Suite #260,Las Vegas,NV,89158,United-States,1 702 893 8900,,+ 1 702 893 6888,,,,," monday to sunday:10:00am to 11:00pm, friday, saturday:10:00am to 12:00am",36.108547,-115.173175,,,,,
Hermès Los Angeles Tom Bradley International Airport,http://en.stores.hermes.com/North-America/United-States/Los-Angeles/Hermes-Los-Angeles-Tom-Bradley-International-Airport,Tom Bradley International Airport 380 World Way,Los Angeles,CA,90045,United-States,1 310 348 2773,,,,,,, monday to sunday:08:00am to 12:00am,33.951611,-118.387578,,,,,
Hermès Las Vegas Encore Wynn,http://en.stores.hermes.com/North-America/United-States/Las-Vegas/Hermes-Las-Vegas-Encore-Wynn,3121 Las Vegas Boulevard South,Las Vegas,NV,89109,United-States,1 702 650 3116,,+ 1 702 733 8434,,,,," monday to sunday:10:00am to 11:00pm, friday, saturday:10:00am to 12:00am",36.130102,-115.164912,,,,,
Hermès Manhasset,http://en.stores.hermes.com/North-America/United-States/New-York/Hermes-Manhasset,Americana Manhasset 1988 Northern Boulevard,New York,NY,11030,United-States,1 516 869 6660,,+ 1 516 869 6662,,,,," monday to saturday:10:00am to 06:00pm, thursday:10:00am to 07:00pm, sunday:12:00pm to 06:00pm",40.796208,-73.673059,,,,,
Hermès New York Madison Men's,http://en.stores.hermes.com/North-America/United-States/New-York/Hermes-New-York-Madison-Men-s,690 Madison Avenue,New York,NY,10065,United-States,1 212 308 3585,,+ 1 212 308 3589,,,,," monday to saturday:10:00am to 06:00pm, thursday:10:00am to 07:00pm, sunday:closed",40.765664,-73.970209,,,,,
Hermès Palm Beach,http://en.stores.hermes.com/North-America/United-States/Palm-Beach/Hermes-Palm-Beach,The Royal Poinciana Plaza 340 Poinciana Way,Palm Beach,FL,33480,United-States,1 561 514 0288,,+ 1 561 655 4778,,,,,"Tuesday to Sunday: 10 am to6:00 pm, Monday: closed",26.717219,-80.042184,,,,,
Hermès Miami,http://en.stores.hermes.com/North-America/United-States/Miami/Hermes-Miami,163 Northeast 39th Street,Miami,FL,33137,United-States,1 305 868-0118,,+ 1 305 868-0443,,,,," monday to saturday:11:00am to 07:00pm, sunday:closed",25.812962,-80.192132,,,,,
